[2016-01-02 04:13:31,382] played_games_parser.py[LINE:278] DEBUG    Start parsing
[2016-01-02 04:13:31,382] played_games_parser.py[LINE:281] DEBUG    filter_exp="De*".
[2016-01-02 04:13:31,396] played_games_parser.py[LINE:369] DEBUG    Finish parsing. Elapsed time: 0.014 ms.
[2016-01-02 04:13:40,435] played_games.py[LINE:316] DEBUG    Start build tree.
[2016-01-02 04:13:40,436] played_games_parser.py[LINE:278] DEBUG    Start parsing
[2016-01-02 04:13:40,436] played_games_parser.py[LINE:281] DEBUG    filter_exp="De".
[2016-01-02 04:13:40,436] played_games_parser.py[LINE:286] DEBUG    Change filter_exp="De*".
[2016-01-02 04:13:40,450] played_games_parser.py[LINE:369] DEBUG    Finish parsing. Elapsed time: 0.014 ms.
[2016-01-02 04:14:10,566] played_games.py[LINE:316] DEBUG    Start build tree.
[2016-01-02 04:14:10,567] played_games_parser.py[LINE:278] DEBUG    Start parsing
[2016-01-02 04:14:10,567] played_games_parser.py[LINE:281] DEBUG    filter_exp="".
[2016-01-02 04:14:10,567] played_games_parser.py[LINE:286] DEBUG    Change filter_exp="*".
[2016-01-02 04:14:10,584] played_games_parser.py[LINE:332] WARNING  Обнаружен неизвестный атрибут: ?, игра: ? Tales of Destiny, платформа: 
[2016-01-02 04:14:10,585] played_games_parser.py[LINE:332] WARNING  Обнаружен неизвестный атрибут: ?, игра: ? Tales of Eternia, платформа: 
[2016-01-02 04:14:10,585] played_games_parser.py[LINE:332] WARNING  Обнаружен неизвестный атрибут: ?, игра: ? Vagrant Story, платформа: 
[2016-01-02 04:14:10,585] played_games_parser.py[LINE:332] WARNING  Обнаружен неизвестный атрибут: ?, игра: ? Breath of Fire III, платформа: 
[2016-01-02 04:14:10,586] played_games_parser.py[LINE:332] WARNING  Обнаружен неизвестный атрибут: ?, игра: ? Chrono Cross, платформа: 
[2016-01-02 04:14:10,590] played_games_parser.py[LINE:369] DEBUG    Finish parsing. Elapsed time: 0.023 ms.
[2016-01-02 04:15:15,686] played_games.py[LINE:400] DEBUG    Start write_settings. CONFIG_FILE=config.
[2016-01-02 04:15:15,686] played_games.py[LINE:401] DEBUG    Build dict.
[2016-01-02 04:15:15,687] played_games.py[LINE:414] DEBUG    Write config.
[2016-01-02 04:15:15,688] played_games.py[LINE:420] DEBUG    Finish write_settings.
